DialogueID,Text
文本ID,&文本内容
int,string
1,你的房间好像和以前一样洁白无染，这只黑色的奇怪生物似乎并不喜欢天使的房间
2,<color=#FF0000>无事发生</color>
11,它眯着眼睛，它在看你
12,<color=#FF0000>安抚值+10</color>
21,它盯着不知道从哪来的食物，就像你不知道骰子从哪来
22,<color=#FF0000>理智-10，警戒度+10</color>
31,它舔了一口你的花圃，现在它已经瞪大眼睛许久了
32,<color=#FF0000>【躁狂】状态层数增加了</color>
41,它（们）聚在你的花圃边上，它们在互相凝视
42,你看到了六只眼睛，骰子一般的数字
43,<color=#FF0000>理智-30</color>
51,它好像突然很喜欢天使的房间，在这里上蹿下跳
52,<color=#FF0000>【躁狂】状态层数增加了</color>
61,在家具上留下印痕似乎是它的天性，可惜印痕在下一刻便烟消云散
62,<color=#FF0000>理智-50，警戒度+30</color>
71,你很喜欢的白色玩偶被沾上了一点黑色，不知道玩偶的身后发生了什么
72,<color=#FF0000>警戒度-25</color>
81,刺激和诱惑总在勾动心弦，它显得有些痴醉
82,<color=#FF0000>安抚值+30</color>
91,永远不知道结果的骰子才算真的公正
92,它跃向了不知何处而来的问号骰子，像能顶出金币似的
93,<color=#FF0000>【躁狂】状态层数增加了</color>
101,这个房间里所有具备“空间”这一属性的地方都被它造访过了
102,<color=#FF0000>理智+15，警戒度-15</color>
111,躺着的是......等等，它为什么躺在那？规则出错了
112,<color=#FF0000>理智-10，安抚值+10</color>
121,它睁着眼睛，它在看你
122,<color=#FF0000>警戒度-10</color>
131,流水一样的身体在把背拱起时，能够自己感受到背部的动静吗？
132,<color=#FF0000>安抚值+40</color>
141,它眯着眼睛，但是肯定没有在看着你了
142,<color=#FF0000>产生1*骰子点数的【入梦】层数</color>
151,分不清是背面还是正面，它睡着了，但还在动
152,<color=#FF0000>产生2*骰子点数的【入梦】层数，理智+20</color>
161,还未降生的猫咪会梦到黑色的上帝吗？
162,<color=#FF0000>理智-50，警戒度+50</color>
171,降生前的梦境会与之后的有所连接吗？
172,<color=#FF0000>安抚值+20</color>
181,不打开看看怎么知道骰子摇到几了？
182,<color=#FF0000>警戒度-50</color>
191,干杯！
192,<color=#FF0000>理智+1，安抚值+99</color>
201,这个生物和骰子到底有什么关系？
202,<color=#FF0000>产生6*骰子点数的【入梦】层数</color>
211,也许这张卡原本是想让你和猫咪分别扔个骰子
212,<color=#FF0000>理智-50，警戒度+50</color>
221,它的脸上出现了一些似乎不适合这种生物的表情
222,<color=#FF0000>理智+80</color>
